path,labels
train\Voice787.wav,देशका नागरिकले गर्नुपर्ने कामहरू देशका विकासमा धेरै असर पार्ने गर्छन्।
train\Voice103.wav,"उसले बैनीलाई राखेर भन्यो- बैनी, तिमीले पढ्नु पनि पर्छ ।"
train\Voice750.wav,यहाँ मन्दिरले मस्जिदको रिस गर्दैन भने गुम्बाले गिर्जाघरलाई गाली गर्दैन।
train\Voice929.wav,हामी नेपाली नेपाललाई अंग्रेजबाट मुक्त गराएर स्वच्छ बनाउने बिर योद्धा हो ।
train\Voice536.wav,एसियाका दुई ठुलो राष्ट्र भारत र चीनको बिचमा रहेको मेरो देश नेपाल रहेको छ।
train\Voice982.wav,कमिश्नरको बोली सुनियो कोठामा- अब बाहिर आउनुपर्यो  ।
train\Voice530.wav,कार्तिक कृष्णपक्षको त्रयोदशी तिथिका सुनसान अँधेरी रातमा घन्किएको मेरो चिच्याहाट सुनेर छिमेकीहरूलाई साथ दिइरहेकी एकछिनका लागि बेपत्ता भएकी थिइन।
train\Voice704.wav,कालगतिको नियमबाट आएन यो; न अकस्मात्‌  नै आयो ।
train\Voice66.wav,तिहारको पहिलो दिनलाई काग-तिहार भनिन्छ।
train\Voice948.wav,तिनीहरू केवल आवश्यकताका चीजहरू किन्न र ध्यान दिन्छन् कि उनीहरूलाई आफ्नो कामको मार्गमा असल मनुष्य बन्न र तिनीहरूको सामान देखाउन नसक्ने फोकस गर्छन्।
train\Voice612.wav,आज हरेक स्कुलमा पुस्तकालय ।
train\Voice833.wav,मैले भनें- मेरो त एउटा मात्र नाउँ छ ।
train\Voice776.wav,"म्याडम क्युरी, फलोरेन्स नाइटिङ्गेल, जुनको ताबेइ आदि यस्ता व्यक्तित्व हुन् जसले आफ्नो प्रतिभाको माध्यमबाट आफूलाई विश्वभर चिनाउन समर्थ भए र यिनी सबै नारी नै हुन् जसले शिक्षा पाएका थिए ।"
train\Voice156.wav,"अनि भैलो खेलेबापत घरमूलीले श्रद्धाले दिएका सेल, रुपैयाँ आदि लिई उनीहरू रमाउँछन्।"
train\Voice57.wav,देशको निर्माणमा र उन्नतिमा समाजको ठुलो योगदान रहेको छ भन्ने कुरा प्रत्यक नागरिकले दिलदिमागले बुझ्नुपर्छ।
train\Voice666.wav,"हो, आमालाई धेरै काम छ, मालमत्ताको राखनधरन गर्नु छ, उहाँलाई फुर्सत छैन ।"
train\Voice903.wav,र अनिवार्य भएमा मात्र अनिवार्य परिमाण प्रयोग होस्‌ ।
train\Voice639.wav,खाजा खानासाथ मलाई लिएर ग्राम दर्शनमा उ हिँडी ।
train\Voice804.wav,तिहार नेपालीहरूको ज्यादै रमाइलो र महत्त्वपूर्ण चाड हो।
train\Voice873.wav,दसौं लाख युक्रेनीलाई ऊर्जा र अन्य अत्यावश्यकीय सेवाबाट वञ्चित गरिरहेको छ ।
train\Voice875.wav,निश्चय पनि ‘ हरियो वन नेपालको धन’ हो।
train\Voice874.wav,कडा नियम बनाए पनि यस आधानिक युगमा नराम्रो मानिसले गर्दा समाज पछि पर्छन्।
train\Voice697.wav,"अनुशासन' शब्दले 'सामाजिक, नैतिक, धार्मिक, राजनैतिक आदि नियम-नियमावलीको मर्यादा र सो मर्यादाभित्र रहने काम भन्ने अर्थ बुझाउँछ, ।"
train\Voice31.wav,हामीले यसमा रहेको अर्थपूर्ण ज्ञानलाई मनले धारण गर्न सक्यो भने लक्ष्य र आकाङ्क्षा प्राप्त गर्न सक्छौ।
train\Voice150.wav,हामी सबै देशका र समाजका सच्चा नागरिक हौ भने यस्ता समस्यालाई मिलिजुली सुल्झाउनुपर्छ।
train\Voice724.wav,"तिनीहरू उनीहरूको वरिपरी मद्दत गर्न प्रयास गर्छन्, आफैलाई धैर्य कार्यमा समावेश गर्दछ।"
train\Voice840.wav,यस दिन मीठा-मीठा खाने कुरा दिई माला लगाई सिँगारपटार गरी कुकुरको पूजा गरिन्छ।
train\Voice559.wav,मैले भोलिपल्ट त्यही दिएर उसका प्रति आफ्नो आदर र कृतज्ञता ज्ञापन गर्न चाहेँ ।
train\Voice601.wav,नारी सम्बन्धित अप्रिय घटनाहरु को नब्बे प्रतिशत कारण नारी शिक्षाको कमी र नारी चेतनाको कमीले नै हुन्छ्न।
train\Voice106.wav,शर्मिला ।
train\Voice654.wav,पछिल्लो समय रुसले युक्रेनी ऊर्जा पूर्वाधारलाई लक्षित गरी आक्रमण तीव्र पारेको छ ।
train\Voice607.wav,यहाका मनमोहक प्राकृतिक दृश्य हेर्न पाउँदा विदेशी पर्यटकहरुको मन निकै आनन्दित हुन्छ।
train\Voice729.wav,नारी नुनिला आँसुका धारा खाएर अमृतमय दूध पिलाउन सक्ने नारी सृष्टिका संरक्षक हुन् ।
train\Voice587.wav,पुस्तकालयले हाम्रो जीवनलाई अर्थ दिने गर्छन।
train\Voice979.wav,पोखरी सानो थियो ।
train\Voice632.wav,"अर्कोतर्फ, ती व्यक्तिहरूले बुझ्नका लागि उनीहरूलाई मात्र उनीहरूको आवश्यकताहरूमा ध्यान केन्द्रित गर्नुपर्छ र हरेक भौतिकवादी ।"
train\Voice37.wav,फर्जी बिल बनाएर समेत इन्धनमा आर्थिक अनियमितता हुने गरेको ती कर्मचारीले बताए ।
train\Voice965.wav,"त्यसो हुनाले, चारैतिरबाट हरेस खाएर म आमाको पिठ्युमा टाँस्सिइरहेँ ।"
train\Voice636.wav,उहाँहरुले देशका लागि केही न केही योगदान दिएर गएका हन्।
train\Voice737.wav,अनि बडो मेहेनत गर्न थालेकी थिई पढ्नमा ।
train\Voice999.wav,"अनि स्वाभाविक स्थितिमा आएर उसले भनेकी थिई- तिमी कहिले- कहिले अनौठो व्यवहार गर्छौ, अनौठो कुरा गर्छौ ।"
train\Voice931.wav,"उसले भनी- होइन, तिमीलाई थाहा होइन होला ।"
train\Voice951.wav,नेपाल आमाका उर्वर कोखबाट समय-समयमा युगप्रवर्तक महानायकहरूको जन्म भएको छ र राष्ट्रियताको रथ हाँक्ने सारथिहरूको उदय भएको छ।
train\Voice910.wav,मानिसहरु पैसाका लागि धनी मान्छेहरुलाई लुटपाट गर्ने काम गर्छन ।
train\Voice531.wav,ति बिचरा साँच्चैका अवसर बाट वन्चित र अशिक्षित नारी को त्यहा उपस्थिती हुनेछ / भएको छ ।
train\Voice703.wav,घरका सबै आत्यधिक लाड प्यार पाएर म चाडै नै तङ्ग्रिन थाले अनि सबैका काख काखमा खेल्दै-रमाउँदै टुकुटुकु हिँड्न सक्ने भए।
train\Voice625.wav,"वासिङ्टन, किभ — अमेरिकाले इरानले रुसका लागि प्रमुख सैन्य सहयोगीका रूपमा भूमिका निर्वाह गरिरहेको दाबी गरेको छ ।"
train\Voice164.wav,"नारीहरु पीडित ,प्रताडित ,दलित ,दंशित हुनु रहनुमा अशिक्षा ,अवसरको कमी आदी ले भूमिका खेलेको छ् र म पनि मान्छु ।"
train\Voice522.wav,"कस्तो अनुद्धिगन छ उसको मन- एकदम भावनाशून्य भएको छ उसको हृदय- धोइएर, पुछिएर चोखो ।"
train\Voice2004.wav,आज मौसम बडो रमाइलो छ।
train\Voice658.wav,उस दिन बिहान गाइको पूजा गरिन्छ अनि राति घरघरमा दीपावली गरी धनकी देवी लक्ष्मीको पूजा गरिन्छ।
train\Voice15.wav,"लागि सञ्चारका माध्यमले अहम् भूमिका खेलेको छ, पत्रपत्रिकाको अभावमा व्यक्ति तथा राष्ट्रले राजनीति, खेलकुद, कृषि र अन्य कुराहरू थाहा पाउन सक्दैन ।"
train\Voice78.wav,"पशुपतिनाथ मन्दिर, दत्तात्रेय, तलेजु भवानी मन्दिर, कृष्णमण्डप, मनकामना मन्दिर आदि जस्ता मन्दिर र ती ठाउँक कलाकृति यहाँको शोभा बढाएका छन्।"
train\Voice670.wav,सरकारले कर तिराएर हामीलाई ठग्न काम गरिरहेको होइन।
train\Voice72.wav,बगेर खेर गइरहेको नदीमा बाँध बाँधेर विद्युत्ऊर्जा निकलेझैँ खेर गइरहेको युवा शक्तिलाई सुसङ्गठित पारी राष्ट्रिय विकासको अभियानमा पोख्न सकिन्छ ।
train\Voice675.wav,त्यसैले यो दिन तिहार चाडको निकै महत्त्वपूर्ण दिन हो।
train\Voice902.wav,उहाँहरुले प्रशस्त माया ममाथी खन्याउनुभएको थियो।
train\Voice138.wav,अस्ति हाम्रै गाउँकी मुनरियालाई वायु चढेको थियो ।
train\Voice35.wav,हामी वृक्ष वनस्पतिलाई पनि उनीहरूको उपकार सम्झी श्रद्धा गर्छौं।
train\Voice882.wav,त्यही बिलको कारणले ती व्यापारीहरूलाई धेरै कम कर तिर्नुपर्छ।
train\Voice848.wav,पुस्तकालयमा विभिन्न छेत्रका किताबहरु हुन्छन।
train\Voice170.wav,एउटा पुरानो मुद्दामा अख्तियारले विशेष अदालतमा मुद्दा दर्ता गरेपछि असारको अन्तमा उनी निलम्बनमा परेका थिए ।
train\Voice789.wav,पर्वतारोहण एउटा साहसिक कार्य हो।
train\Voice42.wav,यसबारेमा कार्यवाहक नगरप्रमुख प्रविन र प्रमुख प्रशासकीय अधिकृत विनयकुमार सोनु सम्पर्कमा आउन चाहेनन् ।
train\Voice836.wav,किशोर फेरि तस्वीर हेरेको जस्तै मनको चिसो आँखाले कलेजका साथीहरूलाई हेर्न थाल्थ्यो ।
train\Voice133.wav,"गाढा हरियो दूबो पनि ठूला-ठूला क्यारीमा उमारिया छन्‌ जसउपर गोडा राख्दा मन हरियो हुन्छ, त्यसै पुलकित हुन्छ शरीर ।"
train\Voice746.wav,युवा-युवतीहरूका जोस र जाँगरका अगाडि जस्तोसुकै कठिन चुनौतीले पनि शिर निहुराउने पर्छ।
train\Voice126.wav,"शरीरमा धमिलो पानी, हावा र घामको माध्यमले सुकेको हुनाले शरीरभरि धूलो र पानीको रेखाचिन्ह स्पष्ट देखिन्थे ।"
train\Voice987.wav,"हाम्रो समाजमा हत्याहिंसा,भेदभाव,दाइजो प्रथा,बाल बिवाह,लागु पदार्थ खाने आदि समस्याहरु हुन् ।"
train\Voice665.wav,हामी कसैलाई पराइ ठान्दैनौ।
train\Voice872.wav,त्यो काइथेहरूको गाउँ हो ।
train\Voice97.wav,यदि हामीले एकतामा एकजुट भइ कम गर्यो भने सामाजिक समस्याको अन्त्य हुनेछ र समाजको विकास हुनेछ।
train\Voice687.wav,गत फेब्रुअरीदेखि युक्रेनमाथि सैन्य आक्रमण गरिरहेको रुसले इरानलाई अभूतपूर्व तहको सैन्य सहयोग दिइरहेको ।
train\Voice22.wav,निष्पट्ट शान्ति छ शहरमा; झन्‌ जाडोले शान्तिलाई जम्मोठजस्तो डल्लो पारेर अडाइदिएको छ ।
train\Voice692.wav,"बिजुली, खानेपानी, कर आदिका लागि उठाइएको रूपले नै देशका विभिन्न कार्यहरू गरिन्छ।"
train\Voice878.wav,शहरमा मलाई यो कुरा कसैले बताएनन्‌ कि मानिसको बोलाउने र न्वारनका भिन्न-भिन्न नाउँ हुन्छन्‌ ।
train\Voice1007.wav,"पहिले-पहिलेको जस्तो भावनाले विभोर भएर होइन, एकदम अनुद्विग्न भएर; मानौं घरको दृश्य त्यो हेरिरहेको छ, तस्वीरहरूमा ।"
train\Voice165.wav,"राजनीति गर्नेहरु अनुशासनहीन भए पनि त्यसको असर सिङ्गो राष्ट्रलाई पर्दछ, सम्पुर्ण जनतालाई पर्दछ, वित्तीय क्षेत्रमा अनुशासन भएन भने कुनै राष्ट्र चल्दैन ।"
train\Voice128.wav,"समाजमा जातधर्म,काम,भाषाभेषमा भेदभाव गरिन्छ।"
train\Voice686.wav,पर्वतारोहणमै सारा जीवन बिताउने व्यक्तिहरू पनि प्रशस्त भेटिन्छन्।
train\Voice856.wav,सरकारले देशलाई हाम्रै पैसाले चलाउँछन्।
train\Voice586.wav,नेपाली संस्कृतिमा केही विकृतिहरू पनि रहेको छ।
train\Voice958.wav,पोखरीको उत्तरपषट्टिको डिलमा पहेँलो चम्पाको रूख थियो जसमा पहेँला फूल फुलेका थिए ।
train\Voice828.wav,कतिपय त् यसलाई पेसाकै रूपमा पनि अँगालेको पाइन्छ।
train\Voice742.wav,तिनीहरूले उच्च सोच्न वा विस्तृत मानसिकता विकास गर्न सक्दैनन्।
train\Voice852.wav,जस्तै – गाउँमा मानिसहरुलाई कुनै रोगको सिकार भयो भने अस्पताल नगएर धामी झाँक्री संग उपचार गराउन जानछन् ।
train\Voice520.wav,"‘इन्धनमा त मनलाग्दी खर्च छ,’ पालिकाका एक कर्मचारीले भने, ‘पालिकाको सवारी साधनभन्दा आफन्त र नजिकका मान्छेलाई दिइने इन्धन बढी छ ।"
train\Voice518.wav,"हामी उनीहरूलाई छिमेकी, मित्र र आफन्तलाई प्रभाव पार्न चाहन्छौं।"
train\Voice17.wav,"पहिले जो आमाजस्ती भएर मेरो औंलालाई सहारा दिँदै गाउँका आवश्यक वस्तुहरूलाई चिह्नाउँदै हिंड्थी, त्यो पछि-पछि सहचरी भएर गई ।"
train\Voice79.wav,"उसले बालाई एक-दुईचोटि भनेको थियो- बा, अहिले बिहे गर्दिनँ पढिसिध्याउँछु, अनि।"
train\Voice880.wav,"एकैदिनमा कति थोक मैले सिकें, यो गाउँमा आएर ।"
train\Voice558.wav,"त्यो धारमा धेरै किसिमका माछा पाइन्छन्‌- रोहु, बुहारी, कतला, काँटी, सिंगी, मुंगरी, बामी ।"
train\Voice618.wav,"बिहे गरेर जब उसले एउटी सानी केटीलाई घर लिएर आयो, उसलाई लाग्यो, उसलाई म आफ्नो रूपमा ढाल्छु ।"
train\Voice700.wav,"अनेकौँ मठ, मन्दिर, गुम्बा, मस्जिद र गिर्जाघर छन्।"
train\Voice947.wav,यसले परिवारबाट उनीहरूलाई दूरीमा राख्छ र उनीहरूको व्यक्तिगत सम्बन्धलाई बाधा पुऱ्याउँछ र यो सबै मात्र तनावतर्फ जान्छ।
train\Voice886.wav,"वास्तवमा भन्ने हो भने नेपाली भाषा सम्पूर्ण नेपालीहरूको आत्मा हो, ढुकढुकी हो।"
train\Voice633.wav,पहिलो पटकको पराजयले उनलाई हताशा होइन विजयका लागि नयाँ पाठ सिकायो।
train\Voice92.wav,आज मानिसहरु समयलाई उप्युक्त तरिकाले उपयोग गर्नका लागि यसमा भएको किताबहरु पढ्ने गर्छन।
train\Voice49.wav,यस दिन लक्ष्मीलाई खुसी पार्न सकियो भने घरमा सधैँ लक्ष्मीको बास हुन्छ भन्ने विश्वास पनि सबै हिन्दूहरूमा रहेको पाइन्छ।
train\Voice985.wav,युवाका लामा-लामा सबल भुजहरूले जुनसुकै चुनौती र अवरोधहरूलाई पनि धुजा-धुजा पार्न सक्छन्।
train\Voice77.wav,यो प्राय गाउमा हुने गर्छ।
train\Voice904.wav,साना अर्थात् तल्लो जतिको मानिसलाई काम पनि दिदैनन्।
train\Voice160.wav,दुई देशबीचको सम्बन्ध विश्व सुरक्षाका लागि खतरनाक भएको बताएका छन् ।
train\Voice48.wav,"अनेकौ मन्दिर, गुम्बा, स्तुपा, कलाकृति आदिले पनि मेरो देशलाई सिगारेका छन् र विश्वमै चिनाएका छन्।"
train\Voice744.wav,त्यसैले यस दिन गाईलाई फुलको माला लगाएर थरथरीका मीठा मीठा खाने कुरा खान दिई गाई पूजा गरिन्छ।
train\Voice61.wav,परिवार र समाजको समुचित माया र स्नेह नपाएका वा आवश्कताभन्दा बढी माया र स्नेहले पुल्पुलिएका बालकहरू जब युवा बन्छन् तीमध्ये पनि केही विकृति-विसंगतितर्फ लागेका हुन्छन्।
train\Voice671.wav,"उनीहरू घर फर्के; बाटामा राधाले आफ्नी दिदीको कुरा गरी, जसले छोरा पाउँदा राधा पनि थिई ।"
train\Voice802.wav,कैयन ठुला होटेल खचाखच भरेका होलान 'नारी हक हित' को आवज उठाउन र 'नारी दिवस' मनाउन न कि ।
train\Voice576.wav,गङ्गाजीपारिको बालुवाको गन्धले भरिएको विचित्र आत्मीयताको न्यानो लिएर बग्ने बनारसको हावा यहाँ छैन ।
train\Voice800.wav,"नेपाल हिमाल, पहाड र तराईको विविधताले भरिएको सुन्दर बगैँचा हो।"
train\Voice901.wav,तिहारको चौथो दिनलाई गोरु-तिहारका रूपमा मनाइन्छ।
train\Voice602.wav,गत वैशाख तिस मा सम्पन्न स्थानीय तहको निर्वाचनवाट निर्वाचित नगरप्रमुख भीमराज यादवमाथि।
train\Voice155.wav,स्रोतका अनुसार एसी कोटेसन प्रक्रियाद्वारा खरिद गरिएको हो ।
train\Voice88.wav,यसको कारणले यो देशको जनसङख्यामा असर पर्छन्।
train\Voice539.wav,किशोर फेरि एक्लै भयो कोठामा ।
train\Voice967.wav,तर युक्रेनमाथि आक्रमण हुनुअघि केही मात्रामा ड्रोन उपलब्ध गराएको स्वीकार गरेको थियो ।
train\Voice817.wav,केही कुरा किनेपछि बिल लिने पनि हाम्रो कर्तव्य हो।
train\Voice739.wav,यस देशले आफूलाई विश्वमा चिनाउने सामर्थ्य पनि राखेको छ।
train\Voice568.wav,धेरैजसो व्यक्तिहरूले पर्वतारोहणमा नयाँ कीर्तिमान कायम गरेर आफ्नो नाम पनि खाँसै राखेकै छन्।
train\Voice544.wav,धनकी देवी लक्ष्मीले कृपा गरिन् भने भइन्छ भन्ने विश्वास सबै हिन्दूहरूमा रहेको छ।
train\Voice533.wav,यो ठूलो रूख पाकडको रूख हो ।
train\Voice855.wav,बर्षमा एक पटक चिच्याएर 'दिवस' मनाउदैमा के फरक पर्छ नारीहरुको अध्यावधी पिछडित दयनिय कुचक्रित यथार्थमा?? ।
train\Voice761.wav,"सलाई बनाउने काठ, चन्दन, रबडको लस्सा, लह, मसला, बास इत्यादि वनबाट प्राप्त हुने गर्छ।"
train\Voice648.wav,"तथापि, यसलाई ठूलो व्यावसायिक बनाउन र अत्याधिक इच्छाहरु को लागी अधिक र अधिक कमाई को लागी मान्छेले काम मा धेरै समय खर्च गर्दछ र आफ्नो आमाबाबु, पति र बच्चाहरुलाई बेवास्ता गर्छन।"
train\Voice949.wav,नेपालबाहिर बस्ने हिन्दू नेपालीहरू पनि यस चाडलाई उतिकै महत्त्व दिई मनाउँछन्।
train\Voice69.wav,यस दिनलाई ‘भाइटीका’ पनि भनिन्छ।
train\Voice827.wav,विदेशी विद्वान्हरूको चासोको विषय बन्नु नेपाली भाषाको ठूलै उपलब्धि हो।
train\Voice672.wav,अझै हाम्रो समाजमा चेलीबेटी बेचबेखन पनि तिब्र गतिमा बढिरहेको छ।
train\Voice523.wav,"साहोडको भ्याङ जसबाट राम्रा-राम्रा दतिउन काटिन्छन्‌, बकाइनो जो नीमको रूख होइन, पटेर र झाडका जङ्गल जो कोशीका दुवै किनारामा छन्‌।"
train\Voice870.wav,नेपालीहरुका अरु निकै पुराना चालचलनहरु देख्दा मख्ख पर्ने विदेशी पर्यटकहरु नेपाल भ्रमणको मीठो सम्झना आफ्नो हृदयको झोलामा भरेर लैजान्छन।
train\Voice1000.wav,चुँडाल्न सक्छ र विकासको अभियानमा देशले लामो फड्को मार्न सक्छ।
train\Voice124.wav,"त्यसै ऊ कुनै किसिमको बाधा, बन्धन, रोकावट, दबाब आदि मा नरही फुक्का हुन् चाहन्छ, मानिस कुनै पनि किसिमको बन्धन मन पराउँदैनन्, जसरी चराहरू फुक्का भई ।"
train\Voice87.wav,बतहिया चमाइन जो बोक्सी थी र जसको घर गाउँभन्दा छुट्टै दक्खिनपट्टि थियो ।
train\Voice597.wav,"जंगल जंगली जनावर, पक्षीहरूको आरक्षण पनि हो।"
train\Voice862.wav,हुने बिरुवाको चिल्लो पात भने झैँ पृथ्वीनारायण शाह सानेदेखि होनहार र प्रतिभाशाली व्यक्ति थिए।
train\Voice136.wav,सत्र सय उनासी साल पौष सत्ताइस गतेका दिन गोर्खाको दरबारमा भएको हो।
train\Voice657.wav,सामाजिक समस्या यसका ज्ञानले हटाउन सकिन्छ।
train\Voice107.wav,अनन्तसम्म पर्खन पनि तयार हुनुपर्छ तर यत्रो द्रुतगतिमा बढिरहेको दुनियाँमा के हामी नेपालीले अनन्तसम्म पर्खिरहने !
